id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb
2437,LY,339,EL AL ISRAEL AIRLINES,2026-07-09T16:15:00,2026-07-09T16:15:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
2438,LY,5141,EL AL ISRAEL AIRLINES,2026-07-09T16:15:00,2026-07-09T16:15:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1,,,ON TIME,בזמן
2439,SK,3151,SAS,2026-07-09T16:15:00,2026-07-09T16:15:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
2440,6H,562,ISRAIR AIRLINES,2026-07-09T16:15:00,2026-07-09T16:15:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
2441,EK,2470,EMIRATES,2026-07-09T16:20:00,2026-07-09T16:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
2442,FZ,1125,FLYDUBAI,2026-07-09T16:20:00,2026-07-09T16:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
2443,AM,7859,AERO MEXICO,2026-07-09T16:25:00,2026-07-09T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
2444,AR,7854,AEROLINEAS ARGENTINAS S.A.,2026-07-09T16:25:00,2026-07-09T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
2445,IB,7715,IBERIA,2026-07-09T16:25:00,2026-07-09T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
2446,LY,312,EL AL ISRAEL AIRLINES,2026-07-09T16:25:00,2026-07-09T16:25:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
2447,LY,396,EL AL ISRAEL AIRLINES,2026-07-09T16:25:00,2026-07-09T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
2448,AF,963,AIR FRANCE,2026-07-09T16:30:00,2026-07-09T16:30:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
2449,IZ,1335,ARKIA  ISRAELI  AIRLINES,2026-07-09T16:30:00,2026-07-09T16:30:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,ON TIME,בזמן
2450,LH,687,LUFTHANSA,2026-07-09T16:30:00,2026-07-09T16:30:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,ON TIME,בזמן
2451,LO,156,LOT POLISH AIRLINES,2026-07-09T16:30:00,2026-07-09T16:30:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,ON TIME,בזמן
2452,LY,9843,EL AL ISRAEL AIRLINES,2026-07-09T16:30:00,2026-07-09T16:30:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
2453,AF,7068,AIR FRANCE,2026-07-09T16:35:00,2026-07-09T16:35:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
2454,AM,7898,AERO MEXICO,2026-07-09T16:35:00,2026-07-09T16:35:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
2455,LY,320,EL AL ISRAEL AIRLINES,2026-07-09T16:35:00,2026-07-09T16:35:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
2456,SK,3162,SAS,2026-07-09T16:35:00,2026-07-09T16:35:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
2457,LY,343,EL AL ISRAEL AIRLINES,2026-07-09T16:40:00,2026-07-09T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,ON TIME,בזמן
2458,LY,382,EL AL ISRAEL AIRLINES,2026-07-09T16:40:00,2026-07-09T16:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
2459,SK,3184,SAS,2026-07-09T16:40:00,2026-07-09T16:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
2460,SK,3191,SAS,2026-07-09T16:40:00,2026-07-09T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,ON TIME,בזמן
2461,6H,381,ISRAIR AIRLINES,2026-07-09T16:40:00,2026-07-09T16:40:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,1,,,ON TIME,בזמן
2462,LY,5032,EL AL ISRAEL AIRLINES,2026-07-09T16:45:00,2026-07-09T16:45:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,NOT FINAL,לא סופי
2463,EY,597,ETIHAD AIRWAYS,2026-07-09T16:50:00,2026-07-09T16:50:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
2464,IZ,821,ARKIA  ISRAELI  AIRLINES,2026-07-09T16:50:00,2026-07-09T16:50:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,ON TIME,בזמן
2465,LY,9605,EL AL ISRAEL AIRLINES,2026-07-09T16:50:00,2026-07-09T16:50:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
2466,AF,7071,AIR FRANCE,2026-07-09T16:55:00,2026-07-09T16:55:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
2467,AM,7853,AERO MEXICO,2026-07-09T16:55:00,2026-07-09T16:55:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
2468,AM,7865,AERO MEXICO,2026-07-09T16:55:00,2026-07-09T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
2469,CY,1149,CYPRUS AIRWAYS,2026-07-09T16:55:00,2026-07-09T16:55:00,A,MJT,MITILINI,לסבוס,LESBOS,יוון,GREECE,3,,,NOT FINAL,לא סופי
2470,DL,7432,DELTA AIRLINES,2026-07-09T16:55:00,2026-07-09T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
2471,LY,011,EL AL ISRAEL AIRLINES,2026-07-09T16:55:00,2026-07-09T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
2472,LY,325,EL AL ISRAEL AIRLINES,2026-07-09T16:55:00,2026-07-09T16:55:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
2473,LY,375,EL AL ISRAEL AIRLINES,2026-07-09T16:55:00,2026-07-09T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,ON TIME,בזמן
2474,TP,8920,AIR PORTUGAL,2026-07-09T16:55:00,2026-07-09T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,ON TIME,בזמן
2475,AM,7877,AERO MEXICO,2026-07-09T17:00:00,2026-07-09T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
2476,BZ,696,BLUE BIRD AIRWAYS,2026-07-09T17:00:00,2026-07-09T17:00:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,ON TIME,בזמן
2477,IZ,1223,ARKIA  ISRAELI  AIRLINES,2026-07-09T17:00:00,2026-07-09T17:00:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,ON TIME,בזמן
2478,LY,317,EL AL ISRAEL AIRLINES,2026-07-09T17:00:00,2026-07-09T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
2479,VS,7495,VIRGIN ATLANTIC AIRWAYS,2026-07-09T17:00:00,2026-07-09T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
2480,6H,592,ISRAIR AIRLINES,2026-07-09T17:00:00,2026-07-09T17:00:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
2481,6H,597,ISRAIR AIRLINES,2026-07-09T17:00:00,2026-07-09T17:00:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,ON TIME,בזמן
