id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,flight_duration_minutes,flight_duration_days
596,LY,397,EL AL ISRAEL AIRLINES,2026-07-12T17:15:00,2026-07-12T17:38:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,78-99,D,DEPARTED,המריאה,23.0,0.016
597,LY,375,EL AL ISRAEL AIRLINES,2026-07-12T17:00:00,2026-07-12T17:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3.0,78-99,D,DEPARTED,המריאה,40.0,0.028
598,TP,8920,AIR PORTUGAL,2026-07-12T17:00:00,2026-07-12T17:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3.0,78-99,D,DEPARTED,המריאה,40.0,0.028
599,AF,7071,AIR FRANCE,2026-07-12T17:05:00,2026-07-12T17:42:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,78-99,D,DEPARTED,המריאה,37.0,0.026
600,AM,7853,AERO MEXICO,2026-07-12T17:05:00,2026-07-12T17:42:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,78-99,D,DEPARTED,המריאה,37.0,0.026
601,LY,325,EL AL ISRAEL AIRLINES,2026-07-12T17:05:00,2026-07-12T17:42:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,78-99,D,DEPARTED,המריאה,37.0,0.026
602,U8,104,TUS AIRWAYS,2026-07-12T13:35:00,2026-07-12T17:43:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,248.0,0.172
603,IZ,419,ARKIA  ISRAELI  AIRLINES,2026-07-12T16:15:00,2026-07-12T17:44:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,G1-G18,G,DEPARTED,המריאה,89.0,0.062
604,LY,343,EL AL ISRAEL AIRLINES,2026-07-12T16:40:00,2026-07-12T17:46:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,78-99,D,DEPARTED,המריאה,66.0,0.046
605,LY,5032,EL AL ISRAEL AIRLINES,2026-07-12T17:25:00,2026-07-12T17:46:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,LANDED,נחתה,21.0,0.015
606,SK,3191,SAS,2026-07-12T16:40:00,2026-07-12T17:46:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,78-99,D,DEPARTED,המריאה,66.0,0.046
